Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Tid;Elgeseter CO mg/m³ Day;Dekning;Elgeseter NO2 µg/m³ Day;Dekning;Elgeseter NO µg/m³ Day;Dekning;Elgeseter NOx µg/m³ Day;Dekning;Elgeseter PM10 µg/m³ Day;Dekning;Elgeseter PM2.5 µg/m³ Day;Dekning
01.09.2003 00:00;;;40,6833333333;100;64,3041666667;100;138,975;100;30,1416666667;100;10,5208333333;100
02.09.2003 00:00;;;41,8083333333;100;77,9125;100;160,8833333333;100;25,8083333333;100;10,9;100
03.09.2003 00:00;;;36,5208333333;100;45,45;100;105,9875;100;19,7625;100;8,775;100
04.09.2003 00:00;;;44,2291666667;100;73,7291666667;100;156,9875;100;26,2666666667;100;12,1666666667;100
05.09.2003 00:00;;;40,7458333333;100;80,3708333333;100;163,5875;100;46,7;100;14,5375;100
06.09.2003 00:00;;;29,675;100;35,45;100;83,8583333333;100;23,5375;100;9,5875;100
07.09.2003 00:00;;;31,25;100;22,0791666667;100;65,0416666667;100;19,7416666667;100;10,5416666667;100
08.09.2003 00:00;;;66,0958333333;100;93,8625;100;180,5739130435;96;43,3041666667;100;17,7291666667;100
09.09.2003 00:00;;;45,9916666667;100;44,725;100;114,3583333333;100;29,9833333333;100;13,9875;100
10.09.2003 00:00;;;56,9375;100;71,5125;100;166,375;100;32,2458333333;100;14,975;100
11.09.2003 00:00;;;57,4833333333;100;102,2041666667;100;213,6958333333;100;36,8083333333;100;16,5041666667;100
12.09.2003 00:00;;;49,7;100;71,3041666667;100;158,675;100;30,5375;100;13,6375;100
13.09.2003 00:00;;;32,0791666667;100;40,3375;100;93,7541666667;100;20,3125;100;9,3541666667;100
14.09.2003 00:00;;;40,7833333333;100;48,2458333333;100;114,4916666667;100;23,1;100;11,3333333333;100
15.09.2003 00:00;;;28,8875;100;46,1125;100;99,3791666667;100;22,475;100;9,1260869565;96
16.09.2003 00:00;;;42,0708333333;100;51,6458333333;100;120,9958333333;100;20,9583333333;100;9,9625;100
17.09.2003 00:00;;;49,6166666667;100;76,5458333333;100;166,6;100;31,6458333333;100;11,7875;100
18.09.2003 00:00;;;53,2833333333;100;114,2958333333;100;227,9916666667;100;;29;16,7208333333;100
19.09.2003 00:00;;;47,7958333333;100;66,7833333333;100;149,9166666667;100;;50;14,4772727273;92
20.09.2003 00:00;;;33,6791666667;100;45,1833333333;100;102,7166666667;100;26,0208333333;100;10,0958333333;100
21.09.2003 00:00;;;33,2416666667;100;44,7291666667;100;101,6416666667;100;21,7875;100;10,0708333333;100
22.09.2003 00:00;;;54,2458333333;100;81,9791666667;100;179,5458333333;100;28,8708333333;100;10,8416666667;100
23.09.2003 00:00;;;27,3166666667;100;30,3041666667;100;73,6333333333;100;17,3916666667;100;9,2458333333;100
24.09.2003 00:00;;;;58;;58;;58;;46;;46
25.09.2003 00:00;;;62,5722222222;75;124,6555555556;75;253,0444444444;75;;67;;67
26.09.2003 00:00;;;44,7583333333;100;99,5958333333;100;197;100;17,6166666667;100;14,2;100
27.09.2003 00:00;;;23,9833333333;100;19,6;100;53,9125;100;14,2958333333;100;6,65;100
28.09.2003 00:00;;;26,9333333333;100;50,5833333333;100;104,2416666667;100;27,6083333333;100;10,9458333333;100
29.09.2003 00:00;;;41,0083333333;100;111,5375;100;211,4666666667;100;46,0833333333;100;17,4875;100
30.09.2003 00:00;;;42,875;100;117,3791666667;100;222,2583333333;100;37,5708333333;100;16,6625;100
01.10.2003 00:00;;;52,0458333333;100;120,7208333333;100;236,55;100;27,0041666667;100;14,3583333333;100
02.10.2003 00:00;;;52,0875;100;117,3166666667;100;231,3833333333;100;38,9583333333;100;15,1166666667;100
03.10.2003 00:00;;;49,9375;100;91,0708333333;100;189,1041666667;100;27,65;100;11,6416666667;100
04.10.2003 00:00;;;32,5833333333;100;38,8833333333;100;92,0083333333;100;17,2;100;7,8666666667;100
05.10.2003 00:00;;;25,7;100;30,425;100;72,2;100;9,3083333333;100;6,55;100
06.10.2003 00:00;;;51,5208333333;100;129,075;100;181,5045454545;92;27,1125;100;12,5875;100
07.10.2003 00:00;;;59,5125;100;126,6833333333;100;225,2130434783;96;41,5833333333;100;17,7583333333;100
08.10.2003 00:00;;;47,3208333333;100;92,5208333333;100;188,6708333333;100;33,7083333333;100;14,5583333333;100
09.10.2003 00:00;;;50,5956521739;96;70,5;96;168,175;100;18,9708333333;100;11,6958333333;100
10.10.2003 00:00;;;51,5166666667;100;108,0833333333;100;216,6916666667;100;25,2363636364;92;13,5090909091;92
11.10.2003 00:00;;;28,4208333333;100;39,5708333333;100;88,9083333333;100;8,8608695652;96;7,3136363636;92
12.10.2003 00:00;;;25,3916666667;100;25,9666666667;100;65,1541666667;100;9,6791666667;100;7,0125;100
13.10.2003 00:00;;;52,85;100;107,925;100;217,7833333333;100;34,2166666667;100;15,5125;100
14.10.2003 00:00;;;44,3166666667;100;97,7416666667;100;193,7;100;52,5375;100;18,8625;100
15.10.2003 00:00;;;46,3541666667;100;77,7041666667;100;165,075;100;46,1625;100;15,6166666667;100
16.10.2003 00:00;;;48,2166666667;100;91,7458333333;100;188,4125;100;28,5375;100;13,8916666667;100
17.10.2003 00:00;;;42,9041666667;100;52,0416666667;100;122,4875;100;24,8791666667;100;9,725;100
18.10.2003 00:00;;;36,2166666667;100;39,0583333333;100;95,9208333333;100;10,4083333333;100;7,4291666667;100
19.10.2003 00:00;;;31,1083333333;100;32,1916666667;100;80,3375;100;7,9125;100;6,5083333333;100
20.10.2003 00:00;;;50,2041666667;100;79,925;100;172,3583333333;100;13,8;100;10,0833333333;100
21.10.2003 00:00;;;57,3458333333;100;107,0541666667;100;220,925;100;76,9083333333;100;21,0416666667;100
22.10.2003 00:00;;;;58;;58;327,8625;100;95,2916666667;100;24,3625;100
23.10.2003 00:00;;;;0;;0;;38;42,2375;100;10,5583333333;100
24.10.2003 00:00;;;;0;;0;;0;10,0818181818;92;6,7291666667;100
25.10.2003 00:00;;;;0;;0;;0;;46;;46
26.10.2003 00:00;;;;0;;0;;0;;0;;0
27.10.2003 00:00;;;;0;;0;;42;;63;;63
28.10.2003 00:00;;;;0;;0;;71;11,6916666667;100;8,9125;100
29.10.2003 00:00;;;;0;;0;;42;74,575;100;25,975;100
30.10.2003 00:00;;;;0;;0;;58;132,9916666667;100;42,3291666667;100
31.10.2003 00:00;;;;0;;0;;33;166,2954545455;92;43,2875;100
01.11.2003 00:00;;;;0;;0;;50;103,3208333333;100;24,3958333333;100
02.11.2003 00:00;;;;0;;0;;50;108,0791666667;100;27,5166666667;100
03.11.2003 00:00;;;;0;;0;;33;163,75;100;35,6666666667;100
04.11.2003 00:00;;;;46;;46;528,8565217391;96;34,2833333333;100;17,7739130435;96
05.11.2003 00:00;;;83,1791666667;100;274,6666666667;100;440,7380952381;88;54,0875;100;31,7166666667;100
06.11.2003 00:00;;;73,1;100;250,5958333333;100;311,885;83;167,3333333333;100;42,4791666667;100
07.11.2003 00:00;;;54;100;200,6041666667;100;261,5047619048;88;66,4375;100;30,5791666667;100
08.11.2003 00:00;;;34,4333333333;100;124,425;100;224,575;100;43,7166666667;100;32,125;100
09.11.2003 00:00;;;54,0916666667;100;92,2416666667;100;195,0291666667;100;81,575;100;22,0291666667;100
10.11.2003 00:00;;;67,0708333333;100;185,7083333333;100;326,0217391304;96;79,4791666667;100;27,0458333333;100
11.11.2003 00:00;;;63,7041666667;100;278,0333333333;100;466,7434782609;96;78,6263157895;79;40,0666666667;100
12.11.2003 00:00;;;;58;;58;;58;;17;;54
13.11.2003 00:00;;;;71;;71;;63;;58;;63
14.11.2003 00:00;;;61,7086956522;96;172,0391304348;96;324,6043478261;96;31,9818181818;92;23,75;92
15.11.2003 00:00;;;58,8083333333;100;250,2958333333;100;390,9227272727;92;42,05;100;36,2333333333;100
16.11.2003 00:00;;;38,4541666667;100;113,3666666667;100;211,6875;100;26,95;100;23,4125;100
17.11.2003 00:00;;;55,4541666667;100;136,5416666667;100;264,1125;100;22,95;100;18,5;100
18.11.2003 00:00;;;58,7833333333;100;193,7416666667;100;354,8291666667;100;32,0458333333;100;26,15;100
19.11.2003 00:00;;;51,7291666667;100;128,6333333333;100;248,3;100;17,9083333333;100;13,9875;100
20.11.2003 00:00;;;56,8;96;202,2391304348;96;330,1227272727;92;27,3708333333;100;22,3583333333;100
21.11.2003 00:00;;;83,9125;100;357,5541666667;100;;63;51,3333333333;100;40,5;100
22.11.2003 00:00;;;56,4333333333;100;142,675;100;274,4375;100;26,3208333333;100;22,4833333333;100
23.11.2003 00:00;;;53,4708333333;100;175,5;100;321,6666666667;100;40,3041666667;100;34,225;100
24.11.2003 00:00;;;64,6173913043;96;242,2913043478;96;403,9;92;47,3142857143;88;36,2157894737;79
25.11.2003 00:00;;;65,0666666667;100;165,5125;100;202,5;88;53,0625;100;17,0875;100
26.11.2003 00:00;;;48,2166666667;100;69,45;100;154,3833333333;100;16,3875;100;8,0458333333;100
27.11.2003 00:00;;;35,2739130435;96;71,4956521739;96;172,5708333333;100;16,105;83;8,447826087;96
28.11.2003 00:00;;;71,9125;100;369,875;100;;67;52,5291666667;100;39,25;100
29.11.2003 00:00;;;55,8916666667;100;108,5541666667;100;221,7333333333;100;40,7666666667;100;14,5916666667;100
30.11.2003 00:00;;;35,0125;100;40,7;100;97,1791666667;100;41,8739130435;96;10,6375;100
01.12.2003 00:00;;;57,9;100;181,6291666667;100;335,4375;100;26,9875;100;19,8166666667;100
02.12.2003 00:00;;;40,7833333333;100;159,2041666667;100;255,6347826087;96;33,45;100;23,0708333333;100
03.12.2003 00:00;;;61,625;100;211,6875;100;385,0916666667;100;31,5291666667;100;23,225;100
04.12.2003 00:00;;;43,825;100;24,6833333333;100;81,5083333333;100;15,5333333333;88;8,2818181818;92
05.12.2003 00:00;;;49,8166666667;100;32,3958333333;100;99,35;100;15,7125;100;7,7208333333;100
06.12.2003 00:00;;;44,7666666667;100;32,0541666667;100;93,7458333333;100;15,9958333333;100;10,6291666667;100
07.12.2003 00:00;;;29,125;100;7,675;100;40,9416666667;100;7,8458333333;100;4,7791666667;100
08.12.2003 00:00;;;62,5708333333;100;89,7166666667;100;199,7625;100;21,8708333333;100;14,425;100
09.12.2003 00:00;;;63,7208333333;100;180,4041666667;100;318,4391304348;96;27,4375;100;21,1375;100
10.12.2003 00:00;;;72,9458333333;100;186,8708333333;100;290,7095238095;88;24,2791666667;100;15,3666666667;100
11.12.2003 00:00;;;;71;92,4409090909;92;307,7608695652;96;12,8136363636;92;9,5272727273;92
12.12.2003 00:00;;;;0;137,9333333333;100;517,0583333333;100;18,3166666667;100;14,9714285714;88
13.12.2003 00:00;;;;0;131,9958333333;100;492,5086956522;96;6,7173913043;96;4,9142857143;88
14.12.2003 00:00;;;;0;;50;;29;;50;;50
15.12.2003 00:00;;;;38;;67;;71;;63;;63
16.12.2003 00:00;;;;63;114,3333333333;100;322,0166666667;100;;67;;67
17.12.2003 00:00;;;65,5875;100;151,2208333333;100;220,3666666667;88;18,1857142857;88;14,85;100
18.12.2003 00:00;;;58,6833333333;100;122,2739130435;96;245,8739130435;96;15,4318181818;92;11,5958333333;100
19.12.2003 00:00;;;59,9916666667;100;71,7;100;169,6;100;12,9666666667;100;9,7583333333;100
20.12.2003 00:00;;;52,8041666667;100;63,2291666667;100;149,4541666667;100;39,6458333333;100;12,8708333333;100
21.12.2003 00:00;;;32,0791666667;100;34,2916666667;100;84,4833333333;100;13,4166666667;100;12,1166666667;100
22.12.2003 00:00;;;59,6916666667;100;71,275;100;168,5916666667;100;14,9333333333;100;12,1041666667;100
23.12.2003 00:00;;;87,0833333333;100;121,7916666667;100;273,1833333333;100;15,3541666667;100;13,5791666667;100
24.12.2003 00:00;;;43,1375;100;37,9166666667;100;101,1;100;10,1368421053;79;7,5857142857;88
25.12.2003 00:00;;;26,5916666667;100;14,1;100;48,1708333333;100;7,5458333333;100;6,2666666667;100
26.12.2003 00:00;;;60,8208333333;100;70,1125;100;167,9583333333;100;16,6086956522;96;14,4086956522;96
27.12.2003 00:00;;;78,1041666667;100;111,8166666667;100;248,975;100;15,6863636364;92;12,9869565217;96
28.12.2003 00:00;;;47,9291666667;100;27,3041666667;100;89,6833333333;100;13,7833333333;100;10,3875;100
29.12.2003 00:00;;;63,15;100;43,8652173913;96;152,2291666667;100;14,4708333333;100;11,9166666667;100
30.12.2003 00:00;;;62,0458333333;100;45,2375;100;131,2291666667;100;12,3416666667;100;10,075;100
31.12.2003 00:00;;;76,7;100;72,7208333333;100;187,875;100;39,0541666667;100;35,9875;100
01.01.2004 00:00;;;42,1875;100;24,2458333333;100;79,2833333333;100;16,7833333333;100;12,5708333333;100
02.01.2004 00:00;;;102,4875;100;167,3166666667;100;358,15;100;22,85;100;15,3458333333;100
03.01.2004 00:00;;;53,1666666667;100;38,7833333333;100;112,4916666667;100;9,0958333333;100;7,5208333333;100
04.01.2004 00:00;;;60,6166666667;100;53,6333333333;100;142,625;100;22,4666666667;100;19,45;100
05.01.2004 00:00;;;99,1083333333;100;196,1083333333;100;398,7958333333;100;47,7583333333;100;40,5416666667;100
06.01.2004 00:00;;;98,85;100;144,3333333333;100;319,4083333333;100;22,4681818182;92;15,4047619048;88
07.01.2004 00:00;;;99,8208333333;100;155,0875;100;308,1217391304;96;23,4208333333;100;15,975;100
08.01.2004 00:00;;;118,0458333333;100;271,8916666667;100;444,48;83;48,915;83;41,08;83
09.01.2004 00:00;;;88,9041666667;100;97,5375;100;237,9416666667;100;18,7863636364;92;13,4863636364;92
10.01.2004 00:00;;;102,3166666667;100;210,1291666667;100;405,9391304348;96;56,1166666667;100;44,1208333333;100
11.01.2004 00:00;;;52,0125;100;47,1708333333;100;124,0791666667;100;20,9434782609;96;7,9636363636;92
12.01.2004 00:00;;;105,8916666667;100;187,9583333333;100;306,255;83;57,3416666667;100;25,8791666667;100
13.01.2004 00:00;;;129,7541666667;100;315,175;100;;58;59,6375;100;44,7958333333;100
14.01.2004 00:00;;;90,6166666667;100;169,4791666667;100;349,5875;100;38,8458333333;100;31,6083333333;100
15.01.2004 00:00;;;92,2375;100;117,8958333333;100;272,4041666667;100;24,4125;100;14,9541666667;100
16.01.2004 00:00;;;73,6875;100;92,5541666667;100;215,1;100;19,4875;100;15,3291666667;100
17.01.2004 00:00;;;51,0125;100;38,5833333333;100;109,9583333333;100;15,75;100;11,2291666667;100
18.01.2004 00:00;;;79,95;100;115,6291666667;100;256,65;100;20,7166666667;100;16,6541666667;100
19.01.2004 00:00;;;99,9875;100;201,6583333333;100;287,8;79;27,9166666667;100;22,9666666667;100
20.01.2004 00:00;;;80,9875;100;176,0625;100;331,0173913043;96;44,2583333333;100;36,6833333333;100
21.01.2004 00:00;;;96,9541666667;100;211,825;100;401,552173913;96;57,3956521739;96;46,8869565217;96
22.01.2004 00:00;;;111,3583333333;100;194,2083333333;100;386,352173913;96;30,6458333333;100;24,5666666667;100
23.01.2004 00:00;;;112,9583333333;100;305,2;100;450,3444444444;75;48,4458333333;100;38,2666666667;100
24.01.2004 00:00;;;93,1;100;283,925;100;459,77;83;47,3541666667;100;37,3125;100
25.01.2004 00:00;;;81,5;100;225,2916666667;100;408,6739130435;96;32,1041666667;100;25,2208333333;100
26.01.2004 00:00;;;80,3791666667;100;97,2208333333;100;228,9333333333;100;13,9565217391;96;9,9333333333;100
27.01.2004 00:00;;;72,4041666667;100;79,5875;100;194;100;14,0695652174;96;11,5083333333;100
28.01.2004 00:00;;;74,1041666667;100;96,5652173913;96;233,8875;100;30,4875;100;25,2791666667;100
29.01.2004 00:00;;;110,1458333333;100;261,8666666667;100;423,3105263158;79;43,5958333333;100;35,7458333333;100
30.01.2004 00:00;;;97,6916666667;100;95,1375;100;243,0041666667;100;17,3625;100;13,7166666667;100
31.01.2004 00:00;;;95,8875;100;146,9375;100;297,3173913043;96;35,5208333333;100;27,7;100
01.02.2004 00:00;;;82,3916666667;100;77,1041666667;100;200,2083333333;100;18,7125;100;15,475;100
02.02.2004 00:00;;;149,975;100;396,5666666667;100;;58;46,8454545455;92;34,8090909091;92
03.02.2004 00:00;;;144,6958333333;100;394,1958333333;100;;50;51,7375;100;33,6125;100
04.02.2004 00:00;;;151,5083333333;100;121,7916666667;100;316,8782608696;96;13,9375;100;8,8958333333;100
05.02.2004 00:00;;;134,9958333333;100;206,525;100;369,43;83;25,7541666667;100;18,3208333333;100
06.02.2004 00:00;;;114,4083333333;100;106,1565217391;96;296,6666666667;100;16,4208333333;100;11,8666666667;100
07.02.2004 00:00;;;87,0041666667;100;49,425;100;162,525;100;30,625;100;8,6583333333;100
08.02.2004 00:00;;;97,8958333333;100;43,9041666667;100;165,0041666667;100;11,5333333333;100;8,5041666667;100
09.02.2004 00:00;;;117;100;65,2708333333;100;216,75;100;11,9333333333;100;8,6333333333;100
10.02.2004 00:00;;;118,4958333333;100;130,8666666667;100;318,425;100;27,8291666667;100;21,15;100
11.02.2004 00:00;;;112,8541666667;100;147,825;100;338,6458333333;100;32,3666666667;100;25,0333333333;100
12.02.2004 00:00;;;135,2666666667;100;158,0083333333;100;376,7083333333;100;24,4666666667;100;15,5041666667;100
13.02.2004 00:00;;;152,0541666667;100;89,1083333333;100;288,1541666667;100;32,4541666667;100;18,7333333333;100
14.02.2004 00:00;;;127,8416666667;100;83,0833333333;100;254,8458333333;100;26,7666666667;100;15,4416666667;100
15.02.2004 00:00;;;112,1375;100;66,175;100;213,2625;100;9,9217391304;96;7,5333333333;100
16.02.2004 00:00;;;134,0333333333;100;143,1541666667;100;352,7375;100;18,4291666667;100;12,8666666667;100
17.02.2004 00:00;;;87,8583333333;100;78,5541666667;100;207,8916666667;100;13,175;83;8,675;100
18.02.2004 00:00;;;77,7227272727;92;129,9666666667;100;269,5166666667;100;24,25;100;16,1625;100
19.02.2004 00:00;;;60,4434782609;96;77,7666666667;100;176,7;100;15,2083333333;100;9,9083333333;100
20.02.2004 00:00;;;54,4739130435;96;68,8166666667;100;157,2916666667;100;60,5956521739;96;12,5208333333;100
21.02.2004 00:00;;;24,9652173913;96;24,3125;100;60,8375;100;33,3291666667;100;8,4333333333;100
22.02.2004 00:00;;;32,2772727273;92;32,5583333333;100;78,675;100;12,5826086957;96;8,5583333333;100
23.02.2004 00:00;;;79,7791666667;100;75,0083333333;100;194,3708333333;100;;54;7,2291666667;100
24.02.2004 00:00;;;112,8375;100;72,3375;100;223,3125;100;10,4777777778;75;7,5956521739;96
25.02.2004 00:00;;;119,625;100;113,7583333333;100;293,4583333333;100;15,3;100;10,535;83
26.02.2004 00:00;;;114,7333333333;100;111,0208333333;100;284,4333333333;100;18,3708333333;100;14,9958333333;100
27.02.2004 00:00;;;102,9875;100;104,1416666667;100;262,1416666667;100;19,0260869565;96;15,9208333333;100
28.02.2004 00:00;;;82,3666666667;100;60,1;100;174,275;100;34,525;100;18,6041666667;100
29.02.2004 00:00;;;86,4916666667;100;35,1166666667;100;140,2791666667;100;20,8875;100;7,8041666667;100
01.03.2004 00:00;;;162,1375;100;70,8916666667;100;270,5541666667;100;16,8375;100;10,6291666667;100
02.03.2004 00:00;;;111,9291666667;100;62,725;100;207,7833333333;100;28,8291666667;100;15,1458333333;100
03.03.2004 00:00;;;75,0833333333;100;112,2041666667;100;246,525;100;111,0583333333;100;22,6166666667;100
04.03.2004 00:00;;;77,2416666667;100;126,9347826087;96;279,9416666667;100;178,7083333333;100;32,175;100
05.03.2004 00:00;;;63,9208333333;100;68,3666666667;100;168,3791666667;100;91,9565217391;96;23,0583333333;100
06.03.2004 00:00;;;62,2708333333;100;84,2708333333;100;191,0416666667;100;49,1208333333;100;26,5166666667;100
07.03.2004 00:00;;;26,5916666667;100;22,6166666667;100;61,1333333333;100;19,6458333333;100;10,4375;100
08.03.2004 00:00;;;71,0173913043;96;107,6291666667;100;232,3625;100;19,2791666667;100;13,95;100
09.03.2004 00:00;;;81,1166666667;100;144,2;100;301,4333333333;100;78,7333333333;100;22,6875;100
10.03.2004 00:00;;;65,3166666667;100;140,2333333333;100;279,5458333333;100;50,9958333333;100;19,4166666667;100
11.03.2004 00:00;;;72,0125;100;118,3375;100;252,8416666667;100;169,4666666667;100;30,9333333333;100
12.03.2004 00:00;;;50,4260869565;96;47,6625;100;121,0166666667;100;117,3041666667;100;19,875;100
13.03.2004 00:00;;;24,2727272727;92;20,6541666667;100;53,4541666667;100;80,7833333333;100;16,95;100
14.03.2004 00:00;;;30,8333333333;88;36,5666666667;100;81,8458333333;100;45,4541666667;100;13,725;100
15.03.2004 00:00;;;53,595;83;73,5708333333;100;155,7583333333;100;49,8791666667;100;13,6333333333;100
16.03.2004 00:00;;;93,1347826087;96;127,8041666667;100;284,4208333333;100;43,7761904762;88;17,7375;100
17.03.2004 00:00;;;82,3875;100;117,25;100;261,5416666667;100;21,1363636364;92;11,5333333333;100
18.03.2004 00:00;;;54,9105263158;79;64,8791666667;100;147,1869565217;96;58,825;100;15,1708333333;100
19.03.2004 00:00;;;55;100;59,4958333333;100;145,95;100;100,7875;100;16,6791666667;100
20.03.2004 00:00;;;32,0458333333;100;45,7166666667;100;101,9;100;71,3916666667;100;16,5583333333;100
21.03.2004 00:00;;;17,2956521739;96;27,4083333333;100;58,2708333333;100;41,0666666667;100;10,725;100
22.03.2004 00:00;;;38,9375;100;61,5583333333;100;133;100;69,5666666667;100;17,7782608696;96
23.03.2004 00:00;;;39,380952381;88;55,3333333333;100;123,9739130435;96;63,1708333333;100;15,8;100
24.03.2004 00:00;;;56,5318181818;92;78,1208333333;100;178,3869565217;96;80,15;100;22,125;100
25.03.2004 00:00;;;88,8208333333;100;93,4086956522;96;242,7666666667;100;85,475;100;24,8666666667;100
26.03.2004 00:00;;;131,15;100;103,2625;100;288,9791666667;100;30,9333333333;100;11,9708333333;100
27.03.2004 00:00;;;120,8833333333;100;42,0291666667;100;185,0916666667;100;12,3916666667;100;7,5666666667;100
28.03.2004 00:00;;;124,7541666667;100;59,85;100;216,2208333333;100;49,4458333333;100;16,4083333333;100
29.03.2004 00:00;;;70,8916666667;100;52,3416666667;100;150,85;100;47,15;100;14,375;100
30.03.2004 00:00;;;30,7285714286;88;27,2125;100;67,9708333333;100;29,2708333333;100;13,0791666667;100
31.03.2004 00:00;;;54,0791666667;100;73,65;100;166,6125;100;58,1958333333;100;19,6583333333;100
01.04.2004 00:00;;;70,4791666667;100;111,2041666667;100;240,375;100;147,8166666667;100;29,05;100
02.04.2004 00:00;;;63,8291666667;100;76,6166666667;100;180,9041666667;100;127,5416666667;100;22,8875;100
03.04.2004 00:00;;;28,9791666667;100;20,675;100;60,5625;100;82,3541666667;100;14,575;100
04.04.2004 00:00;;;19,1875;100;14,6375;100;41,5333333333;100;27,4666666667;100;14,1541666667;100
05.04.2004 00:00;;;36,6666666667;100;32,3916666667;100;86,175;100;25,7375;100;10,0708333333;100
06.04.2004 00:00;;;51,7541666667;100;61,4695652174;96;160,975;100;43,152173913;96;14,3333333333;100
07.04.2004 00:00;;;47,4833333333;100;45,0666666667;100;116,325;100;36,8833333333;100;14,5625;100
08.04.2004 00:00;;;21,6166666667;100;13,7666666667;100;42,6583333333;100;28,0458333333;100;14,0333333333;100
09.04.2004 00:00;;;;54;4,8166666667;100;8,8318181818;92;10,5958333333;100;5,675;100
10.04.2004 00:00;;;;25;4,8333333333;100;12,0684210526;79;11,2958333333;100;7,3625;100
11.04.2004 00:00;;;;54;9,9125;100;26,0238095238;88;8,4416666667;100;6,3208333333;100
12.04.2004 00:00;;;23,8285714286;88;18,9208333333;100;49,4916666667;100;21,3291666667;100;9,0708333333;100
13.04.2004 00:00;;;67,3333333333;100;97,3833333333;100;216,125;100;32,3666666667;100;14,0125;100
14.04.2004 00:00;;;59,525;100;81,325;100;183,8083333333;100;29,8625;100;13,875;100
15.04.2004 00:00;;;58,0958333333;100;97,8875;100;207,6708333333;100;42,2458333333;100;18,1416666667;100
16.04.2004 00:00;;;63,7833333333;100;88,6083333333;100;199,2375;100;104,425;100;30,0333333333;75
17.04.2004 00:00;;;37,2;100;21,6291666667;100;70,2708333333;100;51,9041666667;100;;13
18.04.2004 00:00;;;21,35;100;10,925;100;38,025;100;58,5333333333;100;;71
